word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
festive,749,2.3,2.26,1.58,2.29,0.77,2.34,2
fever,750,-2.24,1.64,-0.71,2.31,-1.48,2.15,19
field,558,1.2,1.37,-0.92,2.41,0.84,1.94,274
fight,751,-1.24,2.63,2.15,2.19,0.27,2.69,98
filth,165,-2.53,1.68,0.12,2.32,-1.19,2.06,2
finger,752,0.29,1.42,-1.22,2.42,0.05,1.7,40
fire,166,-1.78,2.06,2.17,2.06,-0.51,2.49,187
fireworks,513,2.55,1.5,1.67,2.12,0.51,1.98,5
fish,559,1.04,1.94,-1,2.19,1.02,1.68,35
flabby,167,-2.34,1.87,-0.18,2.81,-1.69,1.9,.
flag,753,1.02,1.66,-0.4,2.35,0.5,1.66,16
flirt,754,2.52,1.19,1.91,1.69,1.24,2.33,1
flood,755,-1.81,1.66,1,2.02,-1.76,2.14,19
flower,168,1.64,1.78,-1,2.44,-0.02,2.17,23
foam,756,1.07,2.03,0.26,2.54,0.24,1.97,37
food,514,2.65,1.37,0.92,2.11,1.18,2.48,147
foot,757,0.02,0.93,-1.73,1.98,-0.02,1.42,70
fork,560,0.29,0.97,-1.04,1.94,0.74,1.52,14
foul,169,-2.19,1.52,-0.07,2.23,-0.49,1.89,4
fragrance,170,1.07,1.97,-0.21,2.54,0.14,1.91,6
fraud,171,-2.33,1.66,0.75,2.45,-1.42,2.5,8
free,172,3.26,1.31,0.15,3.04,1.35,2.4,260
freedom,173,2.58,2.04,0.52,2.72,1.76,2.29,128
friend,174,2.74,1.24,0.74,2.57,1.74,1.89,133
friendly,175,3.43,1.08,0.11,2.96,0.92,2.42,61
frigid,758,-1.5,1.85,-0.25,2.56,-0.73,1.98,5
frog,176,0.71,1.74,-0.46,2.03,0.34,1.96,1
frustrated,177,-2.52,1.64,0.61,2.76,-1.5,2.12,10
fun,759,3.37,1.11,2.22,2.01,1.8,1.85,44
funeral,178,-3.61,0.87,-0.06,3.21,-2.03,2.55,33
fungus,179,-1.94,1.75,-0.32,2.33,-0.94,1.94,2
fur,180,-0.49,1.88,-0.82,2.44,-0.68,1.97,13
game,760,1.98,1.97,0.89,2.37,0.7,1.65,123
gangrene,181,-2.72,1.91,0.7,2.96,-1.64,2.34,.
garbage,182,-2.02,1.96,0.04,2.5,-0.76,2.02,7
garden,761,1.71,1.74,-0.61,2.35,1.02,1.71,60
garment,762,1.07,1.61,-0.51,2.5,0.3,1.96,6
garter,534,1.22,1.59,0.47,2.15,0.82,1.62,2
